time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.6600000000000003,0.010875926362,9.98618153138,20.5339355153,6.25063961276,6.26936821827,0.0,0.0520358778411,-0.0794789657858,1.40572279157,-0.0818098735426,-0.0144349473577,0.0,413.1603805231548,413.72150058488114,412.44276416635546,413.646777231144
0.7200000000000003,0.0142926422824,9.98070778589,20.6216848826,6.24535474818,6.26849519963,0.0,0.0619429832479,-0.103499685254,1.51909130618,-0.105153541908,-0.0147820325659,0.0,442.97302954427767,442.94459662736006,444.471491949358,442.5476165667751
0.7800000000000004,0.0183362532683,9.97363780549,20.7172174091,6.23927760577,6.26809770104,0.0,0.0729068846368,-0.132831389508,1.66509467123,-0.0945013778781,0.0060670876061,0.0,452.9101039715052,454.58380640028275,453.2824178484001,454.128857202775
0.8400000000000004,0.0230593288473,9.96462388307,20.8226704039,6.23367583697,6.26861896367,0.0,0.0844732493699,-0.168265634038,1.84969269424,-0.0911792868885,0.0134721015468,0.0,465.98493953570596,466.56327684000513,465.41008765106926,465.66306405127216
0.9000000000000005,0.0284062378276,9.95355188753,20.9352911065,6.22785019447,6.26916514594,0.0,0.0936890798811,-0.201331198886,1.90421097414,-0.112811962923,-0.0015043493282,0.0,426.85086358311713,425.5708576551606,426.6148984875183,424.7550349974278
0.9600000000000005,0.0342976562077,9.94038344283,21.0511013774,6.2214351058,6.26885912971,0.0,0.102707701466,-0.238235912455,1.95600273545,-0.0971767439013,-0.0134894612715,0.0,425.41839666423147,424.39106055115184,425.10055797469056,426.4274213072124
1.0200000000000005,0.0407379515197,9.92488191281,21.1699846046,6.21553225819,6.26823609378,0.0,0.112034587077,-0.279032443309,2.00664101326,-0.100902620076,-0.00480185583489,0.0,424.4730098737881,425.2179696177517,425.80506923109755,425.47743456923655
1.0800000000000005,0.0477621865625,9.90675354491,21.2928409377,6.20958885403,6.26804854532,0.0,0.122127460927,-0.32583291114,2.08837395273,-0.0956019152749,3.17892742356e-05,0.0,434.67173191403737,435.07665773380427,436.13932853889713,436.57314842320517
1.1400000000000006,0.055443089919,9.88546053496,21.423778259,6.20422354875,6.26803340392,0.0,0.133897522623,-0.384544319017,2.27578934976,-0.079287214447,-0.000826846107434,0.0,469.18140247124353,469.1147435136293,467.55369811561627,468.81661136212307
1.2000000000000006,0.0638353113671,9.86049671465,21.5662798833,6.19919632962,6.26829105313,0.0,0.145822412355,-0.448119791815,2.47379710561,-0.0947799606589,0.012954105266,0.0,471.70005432603585,472.7629789462212,473.6965210187261,472.49829758507383
1.2600000000000007,0.0729164748812,9.83169341777,21.7195042645,6.19392105907,6.26919757712,0.0,0.156783118077,-0.512566391817,2.63326054589,-0.0768815355053,0.0191027804708,0.0,462.31247815920017,462.79657070986804,460.97236369192245,462.37826297401654
1.3200000000000007,0.0825988368427,9.799133915,21.8797861722,6.18926324976,6.27014416509,0.0,0.165854641149,-0.573193815447,2.70923490443,-0.0791701254882,0.00811877074031,0.0,437.41380105388816,436.4980427950339,437.18384091973024,436.98820662675143
1.3800000000000008,0.0928862158593,9.76227657982,22.0505681877,6.18446033504,6.27025818813,0.0,0.177004173996,-0.655932507816,2.98274027312,-0.0818648985772,-0.0149859984572,0.0,498.01275738658734,496.31992947567227,496.45205216311274,496.24986804309845
1.4400000000000008,0.103787286709,9.72077225274,22.233314167,6.17982669976,6.2697972171,0.0,0.186428933865,-0.728018864538,3.10837973707,-0.0692773691312,0.00393902225038,0.0,453.431531478948,454.94945526865234,454.8170851940224,455.81948215462984
1.5000000000000009,0.115269629094,9.67476685411,22.4243329364,6.17531368492,6.27011029248,0.0,0.196278971941,-0.805925392176,3.25841553105,-0.0910309963519,0.00766043976683,0.0,463.32316739366536,463.61556781259407,463.52398169631306,461.80682553795066
